Examples,Total Travel Time,Total Energy Consumed,Total Distance Covered,Number of Modules Swapped,Runtime
example 1,2065.92,594.477,1599.79,28,57883.469
example 2,2157.5,656.263,1698.0,31,54347.575
example 3,2236.84,642.628,1749.01,29,66724.145
example 4,2254.91,641.179,1772.43,30,48983.005
example 5,2383.29,675.154,1861.6,31,65212.333
example 6,2218.9,630.055,1723.23,29,56805.403
example 7,2323.46,635.957,1804.26,30,48429.939
example 8,2310.24,629.195,1796.06,30,29898.961
example 9,2134.39,628.473,1658.5,30,32103.991
example 10,2220.72,635.66,1729.73,29,33922.352
