Examples,Total Travel Time,Total Energy Consumed,Total Distance Covered,Number of Modules Swapped,Runtime
example 1,1352.04,260.874,1073.34,11,460.552
example 2,1360.03,237.719,1053.11,10,428.917
example 3,1347.57,266.909,1079.47,11,547.739
example 4,1449.24,282.678,1150.86,11,501.821
example 5,1400.46,264.66,1113.59,11,454.73
example 6,1293.77,241.709,1016.8,10,394.713
example 7,1430.27,267.782,1139.78,11,452.769
example 8,1430.57,257.677,1112.17,11,502.451
example 9,1317.56,263.458,1041.2,11,460.629
example 10,1306.62,246.36,1033.38,10,498.406
