runs,filename,Total Travel Time,Total Energy Consumed,Total Distance Covered,Run Time,Total Module Swapped
1,sumo_routing_output_20251225_075437.txt,84.36,12.339,58.82,503.488,0
2,sumo_routing_output_20251225_081140.txt,86.45,12.628,60.46,545.826,0
3,sumo_routing_output_20251225_084054.txt,95.19,14.195,66.63,619.531,0
4,sumo_routing_output_20251225_090536.txt,92.1,12.731,63.29,563.859,0
5,sumo_routing_output_20251225_104610.txt,83.87,12.519,59.4,545.585,0
6,sumo_routing_output_20251225_105543.txt,92.44,12.966,63.23,560.909,0
7,sumo_routing_output_20251225_110537.txt,86.6,12.064,59.44,504.872,0
8,sumo_routing_output_20251225_111429.txt,85.84,12.043,58.33,530.324,0
9,sumo_routing_output_20251225_112358.txt,86.39,12.296,60.17,534.279,0
10,sumo_routing_output_20251225_113624.txt,86.32,11.583,57.77,510.109,0
