runs,Total Travel Time,Total Energy Consumed,Total Distance Covered,Run Time,Total Module Swapped
1,13181.25,2057.197,8650.95,1814.8,100
2,13181.25,2057.197,8650.95,1010.307,100
3,13181.25,2057.197,8650.95,1015.689,100
4,13181.25,2057.197,8650.95,1017.563,100
5,13181.25,2057.197,8650.95,1016.365,100
6,13181.25,2057.197,8650.95,1015.189,100
7,13181.25,2057.197,8650.95,1018.712,100
8,13181.25,2057.197,8650.95,1014.045,100
9,13181.25,2057.197,8650.95,1018.31,100
10,13181.25,2057.197,8650.95,1017.671,100
