runs,Total Travel Time,Total Energy Consumed,Total Distance Covered,Run Time,Total Module Swapped
1,13281.25,2057.197,8650.95,2138.145,100
2,13281.25,2057.197,8650.95,2388.833,100
3,13281.25,2057.197,8650.95,2560.597,100
4,13281.25,2057.197,8650.95,2468.073,100
5,13281.25,2057.197,8650.95,2992.596,100
6,13281.25,2057.197,8650.95,2366.106,100
7,13281.25,2057.197,8650.95,1649.926,100
8,13281.25,2057.197,8650.95,1343.939,100
9,13281.25,2057.197,8650.95,1232.689,100
10,13281.25,2057.197,8650.95,1287.565,100
