Initial = 100; // Initial energy level at the depot
Eth = 20;	// Minimum energy level

S = 0;		// Sourse of EV
D = 8;		// Destination of EV
G = 10000;  // Large value

Nodes = 8;
Visits = 5;

ECharging = 1;		// Vehicle charging per time unit
Reroad = 3;			// E-road Charging rate per time unit

Station = [0, 0, 0, 0, 0, 0, 1, 1, 0];
Costumer = [0, 0, 0, 1, 1, 1, 0, 0, 0];

Adj = 	[
[0, 1, 1, 0, 0, 0, 0, 0, 0],
			[1, 0, 1, 0, 0, 1, 0, 0, 0],
			[1, 1, 0, 1, 0, 1, 0, 0, 1],
			[0, 0, 1, 0, 1, 0, 0, 0, 0],
			[0, 0, 0, 1, 0, 1, 1, 1, 0],
			[0, 1, 1, 0, 1, 0, 1, 0, 0],
			[0, 0, 0, 0, 1, 1, 0, 1, 0],
			[0, 0, 0, 0, 1, 0, 1, 0, 0],
			[0, 0, 1, 0, 0, 0, 0, 0, 0]
];

Trav =	[
[0.00, 8.63, 8.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
			[8.63, 0.00, 4.51, 0.00, 0.00, 5.70, 0.00, 0.00, 0.00],
			[8.63, 4.51, 0.00, 10.60, 0.00, 5.88, 0.00, 0.00, 8.63],
			[0.00, 0.00, 10.60, 0.00, 6.74, 0.00, 0.00, 0.00, 0.00],
			[0.00, 0.00, 0.00, 6.74, 0.00, 5.45, 9.24, 6.48, 0.00],
			[0.00, 5.70, 5.88, 0.00, 5.45, 0.00, 9.24, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.00, 9.24, 9.24, 0.00, 6.71, 0.00],
			[0.00, 0.00, 0.00, 0.00, 6.48, 0.00, 6.71, 0.00, 0.00],
			[0.00, 0.00, 8.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
];

Dist =	[
[0.00, 5.97, 5.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
			[5.97, 0.00, 3.12, 0.00, 0.00, 4.23, 0.00, 0.00, 0.00],
			[5.97, 3.12, 0.00, 7.95, 0.00, 3.82, 0.00, 0.00, 5.97],
			[0.00, 0.00, 7.95, 0.00, 4.10, 0.00, 0.00, 0.00, 0.00],
			[0.00, 0.00, 0.00, 4.10, 0.00, 4.27, 6.62, 5.24, 0.00],
			[0.00, 4.23, 3.82, 0.00, 4.27, 0.00, 7.70, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.00, 6.62, 7.70, 0.00, 5.59, 0.00],
			[0.00, 0.00, 0.00, 0.00, 5.24, 0.00, 5.59, 0.00, 0.00],
			[0.00, 0.00, 5.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
];

Edep =	[
[0.00, 0.72, 0.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
			[0.72, 0.00, 0.38, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00],
			[0.72, 0.38, 0.00, 0.98, 0.00, 0.45, 0.00, 0.00, 0.72],
			[0.00, 0.00, 0.98, 0.00, 0.48, 0.00, 0.00, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.48, 0.00, 0.54, 0.81, 0.67, 0.00],
			[0.00, 0.52, 0.45, 0.00, 0.54, 0.00, 2.03, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.00, 0.81, 2.03, 0.00, 1.48, 0.00],
			[0.00, 0.00, 0.00, 0.00, 0.67, 0.00, 1.48, 0.00, 0.00],
			[0.00, 0.00, 0.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
];

Ebox =	[
[0.00, 0.10, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
			[0.10, 0.00, 0.05, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00],
			[0.10, 0.05, 0.00, 0.16, 0.00, 0.06, 0.00, 0.00, 0.10],
			[0.00, 0.00, 0.16, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.05, 0.00, 0.09, 0.12, 0.12, 0.00],
			[0.00, 0.08, 0.06, 0.00, 0.09, 0.00, 0.26, 0.00, 0.00],
			[0.00, 0.00, 0.00, 0.00, 0.12, 0.26, 0.00, 0.19, 0.00],
			[0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.19, 0.00, 0.00],
			[0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
];

Eroad = [	[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 1, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 1, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0],
			[0, 0, 0, 0, 0, 0, 0, 0, 0]
];
